age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
40,blue-collar,divorced,high.school,unknown,no,no,telephone,may,thu,155.0,6.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
25,blue-collar,single,high.school,no,no,no,cellular,may,fri,1068.0,3.0,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
38,management,married,basic.9y,unknown,no,no,telephone,may,fri,772.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,yes
54,admin,single,university.degree,no,no,no,cellular,may,mon,337.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,yes
50,admin,married,basic.6y,no,yes,no,cellular,jul,wed,137.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
36,management,married,university.degree,no,yes,no,cellular,may,mon,7.0,6.0,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
43,admin,single,university.degree,no,yes,no,cellular,aug,fri,213.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
57,management,divorced,university.degree,unknown,no,no,cellular,apr,mon,322.0,2.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
38,blue-collar,married,basic.4y,no,no,no,cellular,may,wed,161.0,1.0,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
27,admin,single,high.school,no,yes,no,telephone,may,fri,137.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
35,management,married,university.degree,no,yes,no,cellular,nov,wed,400.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
28,technician,single,high.school,no,yes,no,cellular,jul,tue,124.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
57,admin,married,university.degree,unknown,yes,no,cellular,aug,fri,161.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
40,blue-collar,married,basic.4y,unknown,no,no,cellular,nov,thu,22.0,5.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
43,blue-collar,married,basic.6y,no,no,yes,cellular,jul,tue,197.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
34,technician,divorced,professional.course,no,yes,no,cellular,apr,fri,122.0,1.0,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
67,retired,married,unknown,no,no,no,cellular,oct,thu,140.0,2.0,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,no
48,admin,divorced,high.school,no,yes,no,cellular,nov,mon,309.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
35,admin,single,high.school,no,yes,yes,cellular,may,tue,200.0,4.0,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
27,admin,single,university.degree,no,no,no,cellular,may,mon,409.0,1.0,1,1,success,-1.8,92.893,-46.2,1.299,5099.1,no
25,admin,single,high.school,no,yes,no,cellular,jul,thu,103.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
42,technician,married,professional.course,no,yes,yes,cellular,may,thu,50.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
47,admin,divorced,university.degree,no,yes,no,telephone,may,mon,208.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,entrepreneur,married,university.degree,no,yes,no,cellular,nov,fri,13.0,2.0,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
36,admin,single,basic.9y,no,yes,no,cellular,may,tue,458.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
35,technician,married,professional.course,no,no,no,telephone,jun,mon,200.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
29,blue-collar,married,basic.4y,no,yes,no,cellular,nov,mon,127.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
45,technician,married,professional.course,unknown,no,no,telephone,jun,fri,124.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
53,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,95.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
41,admin,married,university.degree,no,no,yes,cellular,aug,mon,114.0,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
50,management,married,high.school,unknown,no,no,telephone,jun,mon,65.0,17.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
31,management,married,basic.9y,no,no,yes,telephone,may,wed,161.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
46,services,married,high.school,no,no,no,cellular,may,wed,174.0,3.0,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
36,blue-collar,married,high.school,unknown,no,no,telephone,may,wed,713.0,4.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
43,blue-collar,single,professional.course,no,no,no,telephone,jun,thu,133.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
48,entrepreneur,married,basic.9y,unknown,yes,no,telephone,may,tue,201.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
31,services,married,high.school,no,unknown,unknown,cellular,may,thu,215.0,2.0,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
21,services,single,high.school,no,yes,yes,cellular,apr,thu,820.0,2.0,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,no
56,services,married,high.school,unknown,no,no,cellular,may,fri,310.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
54,management,married,basic.6y,no,no,no,telephone,jun,wed,255.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
44,services,married,high.school,unknown,no,no,cellular,nov,tue,43.0,2.0,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
31,unemployed,married,university.degree,no,no,no,cellular,aug,tue,91.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
50,admin,married,university.degree,no,no,no,cellular,aug,tue,587.0,2.0,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,yes
48,admin,married,university.degree,no,yes,yes,cellular,aug,wed,288.0,1.0,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes
26,self-employed,single,university.degree,no,yes,no,cellular,jun,wed,181.0,2.0,999,0,nonexistent,-2.9,92.963,-40.8,1.244,5076.2,no
37,services,single,basic.9y,no,yes,no,telephone,may,fri,320.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
37,unemployed,unknown,university.degree,no,no,no,cellular,jun,tue,100.0,1.0,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
50,services,married,unknown,unknown,no,no,telephone,may,tue,144.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
47,admin,married,university.degree,no,yes,no,cellular,aug,tue,653.0,5.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
41,blue-collar,single,basic.9y,no,no,no,cellular,may,wed,128.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
32,blue-collar,single,basic.9y,no,yes,no,telephone,jun,mon,22.0,17.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
38,services,married,basic.9y,no,no,yes,telephone,jun,fri,177.0,2.0,999,0,nonexistent,-2.9,92.963,-40.8,1.224,5076.2,no
48,technician,married,professional.course,no,no,no,cellular,jul,tue,288.0,1.0,999,1,failure,-1.7,94.215,-40.3,0.876,4991.6,no
46,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,566.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
48,self-employed,married,basic.9y,unknown,yes,no,telephone,may,tue,318.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
38,unknown,divorced,high.school,unknown,yes,no,telephone,may,wed,107.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,admin,married,university.degree,no,yes,no,cellular,aug,tue,748.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
55,retired,married,basic.4y,unknown,no,yes,cellular,jul,tue,599.0,4.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
27,admin,married,high.school,no,yes,yes,cellular,jul,mon,101.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,services,married,high.school,no,yes,no,cellular,nov,wed,223.0,3.0,999,2,failure,-1.1,94.767,-50.8,1.048,4963.6,no
29,blue-collar,single,basic.9y,no,no,no,telephone,jun,mon,411.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
47,services,divorced,basic.4y,no,no,no,cellular,jul,tue,149.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
34,student,single,basic.4y,unknown,yes,no,telephone,may,thu,1185.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
51,services,divorced,high.school,unknown,no,no,cellular,may,tue,398.0,2.0,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
40,admin,divorced,university.degree,no,yes,yes,cellular,aug,wed,65.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
38,admin,married,high.school,no,yes,no,telephone,jun,mon,169.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
42,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,212.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
30,unemployed,single,university.degree,no,yes,yes,cellular,jul,wed,266.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
36,services,married,high.school,unknown,no,no,telephone,may,mon,427.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,admin,single,high.school,no,no,yes,telephone,jun,wed,113.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
47,management,married,university.degree,no,no,no,cellular,apr,mon,51.0,3.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
33,admin,married,university.degree,no,yes,no,cellular,sep,thu,272.0,2.0,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,yes
30,services,single,basic.9y,no,yes,no,cellular,jul,wed,22.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
54,admin,married,high.school,no,no,no,telephone,may,wed,66.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
47,admin,married,basic.9y,no,no,no,cellular,nov,thu,164.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
32,technician,single,university.degree,no,yes,no,cellular,nov,wed,58.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
32,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,297.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
38,self-employed,married,basic.9y,no,yes,no,telephone,may,wed,26.0,1.0,999,2,failure,-1.8,92.893,-46.2,1.281,5099.1,no
38,technician,single,high.school,no,no,no,cellular,aug,wed,74.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
38,unknown,married,unknown,no,yes,no,cellular,aug,thu,27.0,10.0,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
53,blue-collar,married,high.school,no,yes,no,cellular,jul,tue,118.0,7.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
26,unemployed,single,basic.9y,no,yes,no,telephone,may,tue,112.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
27,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,tue,169.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
38,admin,single,university.degree,no,no,no,cellular,jun,tue,103.0,1.0,999,0,nonexistent,-2.9,92.963,-40.8,1.099,5076.2,no
41,services,married,high.school,unknown,yes,no,telephone,may,mon,679.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
51,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,tue,107.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
35,admin,single,university.degree,no,yes,no,cellular,may,mon,8.0,5.0,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
60,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,mon,18.0,4.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
28,admin,single,university.degree,no,no,yes,cellular,jul,fri,94.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
52,management,married,high.school,no,yes,yes,cellular,aug,tue,167.0,1.0,10,4,failure,-2.9,92.201,-31.4,0.883,5076.2,yes
35,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,497.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
27,admin,single,university.degree,no,no,no,cellular,may,tue,134.0,1.0,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,no
34,technician,married,high.school,no,no,no,cellular,jul,thu,481.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
36,blue-collar,married,basic.4y,no,no,yes,cellular,nov,wed,217.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
28,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,140.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
32,admin,married,university.degree,no,yes,yes,telephone,may,mon,175.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,divorced,basic.6y,unknown,no,no,cellular,jul,mon,1065.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
55,admin,married,basic.9y,no,yes,yes,cellular,nov,thu,430.0,2.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
50,technician,married,high.school,no,yes,no,cellular,dec,mon,229.0,1.0,999,1,failure,-3.0,92.713,-33,0.717,5023.5,yes
37,admin,single,university.degree,no,no,no,cellular,may,wed,51.0,4.0,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
35,blue-collar,divorced,basic.9y,no,unknown,unknown,telephone,jun,mon,276.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
58,unknown,married,basic.9y,no,yes,no,cellular,dec,thu,154.0,1.0,999,1,failure,-3.0,92.713,-33,0.72,5023.5,yes
32,entrepreneur,married,university.degree,no,no,no,cellular,aug,mon,95.0,5.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
35,retired,single,basic.9y,unknown,yes,yes,telephone,may,mon,145.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,technician,single,professional.course,no,yes,no,cellular,may,mon,213.0,4.0,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
26,admin,single,high.school,unknown,no,no,cellular,may,thu,136.0,3.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
47,blue-collar,married,professional.course,no,yes,no,cellular,apr,tue,225.0,4.0,999,1,failure,-1.8,93.075,-47.1,1.423,5099.1,no
29,blue-collar,single,basic.9y,no,no,no,cellular,may,wed,68.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
37,entrepreneur,single,basic.9y,no,yes,no,cellular,may,tue,222.0,1.0,2,1,success,-1.8,92.893,-46.2,1.266,5099.1,no
32,technician,single,high.school,no,no,no,telephone,jul,wed,239.0,11.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
46,services,married,high.school,no,yes,no,cellular,jul,mon,181.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
36,services,married,high.school,no,no,yes,telephone,may,wed,166.0,5.0,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
35,admin,married,university.degree,no,no,no,cellular,jun,thu,121.0,4.0,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
31,self-employed,married,university.degree,no,yes,no,cellular,jul,tue,242.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
29,admin,single,university.degree,no,no,no,cellular,aug,mon,716.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
46,housemaid,married,basic.4y,unknown,no,no,cellular,jul,fri,550.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
85,housemaid,divorced,basic.4y,unknown,yes,no,telephone,oct,fri,181.0,2.0,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,no
29,technician,single,basic.9y,no,no,no,cellular,may,thu,20.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
31,management,single,university.degree,no,yes,no,cellular,may,thu,165.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
34,blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,54.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
29,technician,single,professional.course,no,yes,yes,cellular,nov,fri,215.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
46,admin,single,university.degree,no,yes,yes,cellular,jul,tue,62.0,7.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
29,blue-collar,divorced,high.school,no,no,no,cellular,may,fri,760.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
54,blue-collar,single,basic.4y,no,no,no,telephone,may,thu,253.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
26,management,single,university.degree,no,yes,no,cellular,nov,mon,112.0,5.0,999,0,nonexistent,-1.1,94.767,-50.8,1.039,4963.6,no
27,admin,married,professional.course,no,yes,no,cellular,may,thu,143.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
57,management,married,basic.4y,unknown,yes,no,cellular,may,fri,10.0,5.0,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
32,technician,single,university.degree,no,yes,no,cellular,aug,wed,158.0,5.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
35,services,married,high.school,no,yes,no,telephone,may,tue,87.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
32,blue-collar,single,high.school,no,unknown,unknown,cellular,nov,wed,77.0,2.0,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
59,retired,married,basic.9y,no,no,no,cellular,jul,mon,551.0,4.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
29,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,193.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
37,admin,married,high.school,no,no,yes,telephone,may,thu,155.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
40,admin,married,high.school,unknown,no,no,telephone,jun,tue,675.0,5.0,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
55,admin,married,professional.course,no,yes,yes,cellular,aug,tue,482.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
33,housemaid,single,university.degree,unknown,yes,no,cellular,aug,wed,46.0,3.0,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
36,admin,single,high.school,no,no,no,cellular,apr,fri,193.0,3.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
59,admin,married,high.school,no,no,no,telephone,jun,mon,204.0,4.0,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
34,blue-collar,single,basic.9y,no,no,no,cellular,may,thu,484.0,3.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
30,self-employed,married,professional.course,no,no,no,cellular,may,tue,34.0,2.0,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
29,admin,married,high.school,no,no,no,cellular,jul,thu,48.0,7.0,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
34,blue-collar,single,basic.9y,no,no,no,cellular,may,mon,281.0,2.0,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
47,blue-collar,single,basic.4y,unknown,yes,no,telephone,may,wed,162.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
41,entrepreneur,married,basic.4y,no,yes,no,telephone,jul,fri,89.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
30,admin,single,university.degree,no,yes,no,cellular,jun,wed,107.0,1.0,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
33,admin,married,high.school,unknown,yes,no,cellular,aug,tue,68.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
33,unemployed,single,unknown,no,no,no,cellular,jul,tue,211.0,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
33,services,married,high.school,no,unknown,unknown,cellular,may,fri,333.0,1.0,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
59,retired,married,basic.4y,no,yes,yes,cellular,aug,thu,265.0,1.0,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
29,services,married,basic.9y,no,yes,no,telephone,may,wed,94.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,admin,married,high.school,no,no,no,telephone,may,tue,369.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
41,admin,single,unknown,unknown,yes,no,cellular,apr,fri,464.0,2.0,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
55,technician,married,basic.9y,unknown,no,no,telephone,jun,mon,362.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
39,entrepreneur,married,professional.course,no,yes,no,cellular,nov,thu,997.0,2.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
48,services,married,basic.6y,no,no,no,cellular,jul,wed,69.0,6.0,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
56,admin,married,university.degree,no,yes,no,cellular,jul,fri,177.0,5.0,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
63,technician,married,unknown,no,yes,no,cellular,aug,tue,173.0,1.0,999,0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,no
50,self-employed,married,basic.9y,unknown,no,no,cellular,may,thu,287.0,1.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,454.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,unemployed,married,university.degree,unknown,no,no,telephone,jun,mon,114.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
32,admin,married,university.degree,no,yes,yes,cellular,nov,thu,51.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
28,blue-collar,single,basic.9y,no,no,no,cellular,apr,mon,218.0,1.0,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,no
26,blue-collar,married,professional.course,no,yes,no,cellular,may,thu,649.0,2.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
24,admin,single,high.school,unknown,yes,no,cellular,jul,thu,470.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
38,blue-collar,divorced,unknown,no,no,no,telephone,jun,fri,278.0,1.0,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
30,services,married,high.school,unknown,yes,no,cellular,nov,thu,175.0,1.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
29,blue-collar,single,basic.4y,no,yes,no,cellular,may,fri,13.0,9.0,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
56,management,married,university.degree,no,no,no,cellular,jul,tue,442.0,2.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
36,blue-collar,single,basic.9y,no,yes,yes,telephone,jun,thu,762.0,3.0,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,yes
33,admin,married,high.school,unknown,yes,no,cellular,jul,tue,88.0,4.0,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
47,services,married,unknown,no,no,no,telephone,may,wed,262.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
50,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,287.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
41,services,married,basic.9y,no,no,no,telephone,may,tue,335.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
54,entrepreneur,divorced,unknown,no,no,yes,cellular,apr,thu,461.0,2.0,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
32,blue-collar,married,basic.9y,no,unknown,unknown,telephone,apr,fri,108.0,3.0,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,no
38,admin,single,university.degree,no,no,no,telephone,may,tue,189.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,management,single,high.school,no,yes,yes,cellular,nov,wed,201.0,2.0,6,1,success,-0.1,93.2,-42,4.12,5195.8,no
34,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,192.0,3.0,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
55,admin,married,unknown,no,yes,yes,cellular,nov,thu,591.0,3.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
31,self-employed,married,university.degree,no,no,no,cellular,aug,tue,201.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
43,technician,married,professional.course,no,yes,no,telephone,may,tue,225.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
59,unemployed,married,basic.4y,unknown,yes,no,cellular,jul,thu,458.0,9.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
53,technician,married,university.degree,no,unknown,unknown,cellular,apr,thu,758.0,2.0,999,2,failure,-1.8,93.749,-34.6,0.64,5008.7,yes
56,unemployed,married,professional.course,no,no,no,cellular,sep,fri,1551.0,1.0,999,2,failure,-3.4,92.379,-29.8,0.762,5017.5,no
32,entrepreneur,married,basic.9y,unknown,yes,no,telephone,jul,tue,258.0,1.0,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
36,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu,159.0,3.0,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
42,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,92.0,5.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,admin,married,university.degree,no,yes,no,cellular,aug,mon,209.0,2.0,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
33,services,married,high.school,unknown,no,no,cellular,nov,thu,117.0,6.0,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
56,technician,married,unknown,no,no,no,telephone,jun,fri,49.0,2.0,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
31,entrepreneur,divorced,high.school,no,yes,no,telephone,may,tue,168.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,management,married,high.school,no,yes,no,cellular,nov,wed,228.0,3.0,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
33,blue-collar,married,basic.4y,no,yes,no,telephone,jun,fri,78.0,7.0,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
23,housemaid,single,basic.4y,no,no,yes,cellular,may,thu,9.0,6.0,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
